x,y
0.229776,0.585848
0.236482,0.574245
0.243262,0.562584
0.250117,0.550871
0.257043,0.539109
0.264039,0.527304
0.271103,0.515462
0.278234,0.503586
0.285429,0.491682
0.292688,0.479753
0.300007,0.467806
0.307385,0.455843
0.31482,0.443871
0.32231,0.431892
0.329853,0.419913
0.337447,0.407936
0.345089,0.395966
0.352777,0.384007
0.360508,0.372064
0.36828,0.36014
0.376086,0.348238
0.383865,0.336429
0.39161,0.324716
0.399329,0.313081
0.407075,0.30145
0.414817,0.289869
0.422599,0.278272
0.430375,0.26673
0.438184,0.255182
0.446006,0.243663
0.453831,0.232184
0.461677,0.220721
0.469518,0.20931
0.477361,0.197936
0.485206,0.186605
0.493045,0.175346
0.500892,0.164178
0.508755,0.153127
0.516635,0.142214
0.524531,0.131449
0.532439,0.12084
0.540355,0.110393
0.548274,0.10011
0.556191,0.0899952
0.5641,0.0800515
0.571994,0.0702817
0.579868,0.0606887
0.587713,0.0512757
0.595522,0.0420459
0.603276,0.0330173
0.610413,0.0248276
0.611259,0.0238695
0.61322,0.0216775
0.616337,0.0182281
0.620657,0.0134837
0.626202,0.00742171
0.633001,0.0
0.00819515,1.00004
0.00918418,0.998331
0.0102776,0.996435
0.0114756,0.994352
0.0127783,0.992081
0.0141858,0.989621
0.0156983,0.986968
0.0173161,0.984121
0.0190392,0.981079
0.020868,0.977838
0.0228027,0.974398
0.0248435,0.970756
0.0269907,0.96691
0.0292446,0.962858
0.0316055,0.958598
0.0340737,0.954128
0.0366493,0.949446
0.0393329,0.944551
0.0421245,0.939441
0.0450246,0.934116
0.0480333,0.928574
0.0511508,0.922814
0.0543775,0.916837
0.0577134,0.910643
0.0611586,0.904231
0.0647134,0.897603
0.0683777,0.89076
0.0721515,0.883704
0.0760348,0.876436
0.0800274,0.868959
0.0841291,0.861276
0.0883397,0.85339
0.0926588,0.845305
0.0970861,0.837024
0.101621,0.828553
0.106263,0.819894
0.111011,0.811054
0.115866,0.802038
0.120825,0.792849
0.125888,0.783494
0.131054,0.773979
0.136323,0.764307
0.141693,0.754486
0.147162,0.744521
0.152731,0.734417
0.158397,0.724181
0.164159,0.713816
0.170016,0.70333
0.175967,0.692728
0.18201,0.682014
0.188143,0.671196
0.194366,0.660277
0.200676,0.649263
0.207073,0.63816
0.213554,0.626972
0.220118,0.615705
0.226763,0.604364
0.233488,0.592954
0.240291,0.581479
0.24717,0.569946
0.254124,0.558358
0.261152,0.546721
0.26825,0.535039
0.275418,0.523317
0.282654,0.511559
0.289955,0.499771
0.297321,0.487957
0.304749,0.476122
0.312238,0.464269
0.319784,0.452403
0.327388,0.44053
0.335045,0.428652
0.342754,0.416774
0.350513,0.404901
0.35832,0.393036
0.366171,0.381184
0.374065,0.369348
0.381987,0.357544
0.389869,0.345851
0.397719,0.334249
0.405543,0.322729
0.413399,0.311205
0.421248,0.299737
0.429147,0.288243
0.437032,0.276815
0.444961,0.26537
0.452902,0.253956
0.460846,0.242586
0.46882,0.231221
0.476783,0.219918
0.484754,0.208649
0.492736,0.197413
0.500699,0.186248
0.508655,0.175131
0.516603,0.16407
0.524533,0.153091
